epoch,co2,temp,humid,count
1759210524,874,20.75151,82.68711,9
1759210554,876,20.73281,82.42466,9
1759210584,874,20.67941,82.18967,9
1759210614,876,20.6714,81.82193,9
1759210644,880,20.65804,81.4786,9
1759210674,877,20.69543,81.11238,9
1759210704,875,20.59396,80.59663,9
1759210734,873,20.62333,81.74563,9
1759210764,868,20.63134,82.83665,9
1759210794,874,20.70611,83.77966,9
1759210824,876,20.80758,84.20996,9
1759210854,882,20.92508,84.45258,9
1759210884,883,21.02922,84.73335,9
1759210914,888,21.10399,84.95461,9
1759210944,888,21.2108,85.10109,9
1759210974,891,21.23751,85.07362,9
1759211004,896,21.05592,83.9353,9
1759211034,894,20.93576,83.47601,9
1759211064,898,20.81293,83.47906,0
1759211094,894,20.78088,83.53094,0
1759211124,894,20.78088,83.19371,0
1759211154,889,20.73816,82.77104,0
1759211184,884,20.77287,82.30717,0
1759211214,883,20.71679,81.84329,0
1759211244,882,20.60464,81.58999,0
1759211274,880,20.55924,82.69932,0
1759211304,879,20.60464,83.58587,0
1759211334,875,20.63134,84.12909,0
1759211364,872,20.75685,84.67536,0
1759211394,862,20.82361,84.95918,0
1759211424,864,20.93576,85.14534,0
1759211454,862,20.98116,85.34219,0
1759211484,862,21.08797,85.31625,0
1759211514,857,21.14404,85.56802,0
1759211544,856,21.20279,85.71145,0
1759211574,859,21.26421,85.51308,0
1759211604,854,21.06928,84.43122,0
1759211634,857,20.78889,83.6347,0
1759211664,852,20.78622,83.3753,0
1759211694,851,20.66606,83.13573,0
1759211724,849,20.43107,82.91142,0
1759211754,849,20.39368,82.6749,0
1759211784,849,20.3109,82.48417,0
1759211814,845,20.2121,82.88396,0
1759211844,846,20.33761,84.01923,0
1759211874,842,20.43374,84.76997,0
1759211904,839,20.54055,85.10872,0
1759211934,836,20.70077,85.42001,0
1759211964,835,20.7969,85.55123,0
1759211994,835,20.86633,85.67788,0
1759212024,828,20.95979,85.72213,0
1759212054,826,21.05325,85.84116,0
1759212084,829,21.12268,85.92355,0
1759212114,824,21.2108,85.99222,0
1759212144,822,21.10132,85.38338,0
1759212174,820,20.79156,84.28474,0
1759212204,817,20.75151,83.95972,0
1759212234,817,20.70611,83.58282,0
1759212264,814,20.56191,83.29137,0
1759212294,811,20.5272,83.1342,0
1759212324,812,20.46845,82.8687,0
1759212354,808,20.36965,82.56657,0
1759212384,804,20.43908,82.77409,0
1759212414,802,20.54589,83.77356,0
1759212444,803,20.58328,84.69672,0
1759212474,798,20.65537,85.14381,0
1759212504,793,20.73549,85.42916,0
1759212534,792,20.8156,85.85336,0
1759212564,791,20.90104,85.94492,0
1759212594,793,20.98116,85.8793,0
1759212624,788,21.03723,86.06699,0
1759212654,787,21.16274,86.12039,0
1759212684,784,21.21347,86.19211,0
1759212714,783,21.23484,86.33707,0
1759212744,781,21.07462,85.30404,0
1759212774,777,20.93309,84.41596,0
1759212805,775,20.76486,84.1474,0
1759212835,774,20.626,84.04517,0
1759212865,769,20.57527,83.87732,0
1759212895,766,20.47112,83.47448,0
1759212925,766,20.34829,83.25628,0
1759212955,767,20.40436,84.0238,0
1759212985,768,20.50851,85.04158,0
