time,co2,temp,humid,count
1759147574,1100,26.65026,62.31479,9
1759147604,1109,25.30709,66.88182,9
1759147634,1104,24.61814,69.08675,9
1759147664,1103,24.15885,70.19302,9
1759147694,1099,23.80903,70.87358,9
1759147787,1033,26.21767,60.96437,9
1759147817,1052,25.08278,65.45358,9
1759147847,1054,24.44457,68.92195,9
1759147877,1053,24.09743,70.91783,9
1759147907,1062,23.95323,72.57343,9
1759147937,1062,23.9292,73.35775,9
1759147967,1064,23.89448,74.15121,9
1759147997,1067,23.89982,74.47013,9
1759148027,1074,23.83841,74.55863,9
1759148057,1070,23.78233,74.22598,9
1759148087,1069,23.76364,74.07645,9
1759148117,1065,23.67552,73.87656,9
1759149388,1325,22.82635,69.75357,1
1759149494,1158,24.82109,67.74242,1
1759149524,1134,24.32174,71.7174,1
1759149554,1126,24.07073,73.60799,1
1759149584,1114,23.88914,74.9752,1
1759149614,1105,23.93988,75.88617,1
1759149644,1102,24.14015,76.80476,1
1759149674,1099,24.50866,79.45525,1
1759149791,952,24.88518,67.30602,0
1759149821,1052,22.28695,72.48188,0
1759149851,1039,21.07462,75.6527,0
1759149881,1039,20.36164,78.26658,0
1759149911,1034,19.96109,79.4461,0
1759149941,1038,19.76883,80.19989,0
1759149971,1046,19.59525,80.84535,0
1759150001,1040,19.85962,81.87228,0
1759150031,1034,20.1667,82.3682,0
1759150061,1029,20.40169,82.39414,0
1759150091,1022,20.58328,82.65354,0
1759150121,1018,20.74083,83.00908,0
1759150151,1016,20.86099,82.91295,0
1759150181,1011,20.94644,83.00755,0
1759150211,1010,21.0132,83.10216,0
1759150241,1011,21.07462,83.16624,0
1759150271,1007,20.82895,82.59403,0
1759150301,1001,20.18006,82.22629,0
1759150331,1016,19.83558,82.4567,0
1759150361,1009,19.60594,82.65202,0
1759150391,1002,19.40032,82.93279,0
1759150421,1004,19.25078,83.09148,0
1759150451,1004,18.9971,83.35088,0
1759150481,1004,18.90097,83.53094,0
1759150511,1007,18.84222,83.45159,0
1759150541,1005,18.87961,83.25018,0
1759150571,998,19.08522,83.61791,0
1759150601,1000,19.58991,83.92767,0
1759150631,998,19.94507,83.86969,0
1759150661,992,20.27085,83.66827,0
1759150691,988,20.47913,83.65911,0
1759150721,984,20.66339,83.56451,0
1759150751,986,20.77287,83.41497,0
1759150781,978,20.87167,83.63165,0
1759150811,974,20.98917,83.60876,0
1759150841,972,21.05325,83.59502,0
1759150871,969,21.04524,83.53399,0
1759150901,964,20.48714,82.7924,0
1759150931,962,19.98512,82.82445,0
1759150961,956,19.73144,82.98161,0
1759150991,953,19.51514,83.06096,0
1759151021,958,19.2855,83.34631,0
1759151051,957,19.02113,83.62707,0
1759151081,956,18.9971,83.6759,0
1759151111,940,18.89563,83.60723,0
1759151141,939,18.97307,83.61486,0
1759151171,940,19.46708,84.05737,0
1759151201,936,19.8249,84.26185,0
1759151231,937,20.12932,84.11078,0
1759151261,937,20.35096,83.99939,0
1759151291,932,20.54055,84.09705,0
1759151321,934,20.71145,84.04974,0
1759151351,933,20.80224,84.09399,0
1759151381,936,20.9144,83.83307,0
1759151411,933,20.99184,83.88647,0
1759151441,930,21.04524,83.84528,0
1759151471,926,21.04524,83.87732,0
1759151501,920,20.56458,83.0808,0
1759151531,913,19.90234,82.74204,0
1759151561,928,19.56321,83.1281,0
1759151591,932,19.30152,83.46685,0
1759151621,928,19.08255,83.79797,0
1759151651,938,19.00244,83.90173,0
1759151681,933,18.89029,83.81476,0
1759151711,933,18.8716,83.69115,0
1759151741,926,19.25345,84.12146,0
1759151771,921,19.6807,84.40833,0
1759151801,920,19.98245,84.10925,0
1759151831,916,20.24681,83.70489,0
1759151861,914,20.44976,83.73083,0
1759151891,916,20.62333,83.7293,0
1759151921,908,20.71145,83.65606,0
1759151951,901,20.80758,83.64538,0
1759151981,895,20.89036,83.66369,0
1759152011,899,20.96513,83.68658,0
1759152041,900,21.06928,83.61791,0
1759152071,904,21.15473,83.48669,0
1759152101,903,20.85832,82.96788,0
1759152131,904,20.21477,82.46738,0
1759152161,903,19.7528,82.76189,0
1759152191,909,19.5098,83.12199,0
1759152221,907,19.2401,83.44091,0
1759152251,906,19.06386,83.61639,0
1759152281,908,18.97841,83.68505,0
1759152311,916,18.92233,83.65301,0
1759152341,915,19.08522,83.50957,0
1759152371,911,19.54719,83.90631,0
1759152401,904,19.92637,83.85901,0
1759152431,901,20.18273,83.54009,0
1759152461,903,20.41237,83.48669,0
1759152491,900,20.55123,83.52941,0
1759152521,897,20.66873,83.53857,0
1759152551,898,20.78355,83.60418,0
1759152582,897,20.88235,83.50652,0
1759152612,899,20.95712,83.51873,0
1759152642,894,21.05592,83.57214,0
1759152672,888,21.11734,83.58129,0
1759152702,882,20.95178,83.33868,0
1759152732,883,20.33494,82.62913,0
1759152762,884,19.7715,82.81071,0
1759152792,880,19.47776,82.9984,0
1759152822,874,19.17067,83.46532,0
1759152852,876,19.02647,83.68353,0
1759152882,871,18.88495,83.70947,0
1759152912,874,18.82086,83.68047,0
1759152942,877,18.81018,83.62554,0
1759152972,876,19.29618,84.23895,0
1759153002,884,19.72076,84.1062,0
1759153032,878,20.01984,83.72472,0
1759153062,879,20.30289,83.67132,0
1759153092,879,20.46845,83.56451,0
1759153122,875,20.57527,83.62554,0
1759153152,879,20.7435,83.66064,0
1759153182,874,20.83696,83.62859,0
1759153212,871,20.9144,83.52026,0
1759153242,873,21.01587,83.50805,0
1759153272,874,21.10666,83.58739,0
1759153302,879,21.02388,83.34325,0
1759153332,882,20.36431,82.45823,0
1759153362,885,19.89967,82.57267,0
1759153392,878,19.60861,82.86107,0
1759153422,872,19.20539,83.26849,0
1759153452,869,19.0238,83.52941,0
1759153482,866,18.925,83.6881,0
1759153512,864,18.89029,83.56145,0
1759153542,863,18.92233,83.66521,0
1759153572,864,19.40032,84.14282,0
1759153602,864,19.75814,84.1413,0
1759153632,861,20.07591,83.81628,0
1759153662,861,20.32158,83.72778,0
1759153692,864,20.50584,83.73083,0
1759153722,866,20.63668,83.59045,0
1759153752,869,20.75151,83.60113,0
1759153782,863,20.87701,83.59502,0
1759153812,866,20.95979,83.49584,0
1759153842,867,21.05058,83.67132,0
